Aari                          - aiw
Baruga                        - bjz
Baruya                        - byr
Barí                          - mot
Basa                          - bzw
Basaa                         - bas
Bashkir                       - ba
Bashkir                       - bak
Basketo                       - bst
Basque                        - eu
Basque                        - eus
Batak Alas-Kluet              - btz
Batak Karo                    - btx
Batak Toba                    - bbc
Bats                          - bbl
Batuley                       - bay
Baure                         - brg
Bavarian                      - bar
Beaver                        - bea
Beja                          - bej
Belarusian                    - be
Belarusian                    - bel
Bemba                         - bem
Bemba                         - bmy
Bena                          - bez
Bena                          - yun
Bench                         - bcq
Bende                         - bdp
Beng                          - nhb
Benga                         - bng
Bengali                       - ben
Bengali                       - bn
Beothuk                       - bue
Berbice Creole Dutch          - brc
Berinomo                      - bit
Berom                         - bom
Berti                         - byt
Betawi                        - bew
Bezhta                        - kap
Bhojpuri                      - bho
Biak                          - bhw
Biao                          - byk
Biem                          - bmc
Big Nambas                    - nmb
Bikol                         - bik
Bini                          - bin
Binongan Itneg                - itb
Birale                        - bxe
Biseni                        - ije
Bishnupriya                   - bpy
Bislama                       - bi
Bislama                       - bis
Blin                          - byn
Bo-Rukul                      - mae
Bobot                         - bty
Bodo                          - boy
Bodo                          - brx
Boghom                        - bux
Boko                          - bqc
Bokobaru                      - bus
Bole                          - bol
Bolinao                       - smk
Bonan                         - peh
Bondei                        - bou
Bora                          - boa
Border Kuna                   - kvn
Borong                        - ksr
Borôro                        - bor
Bosnian                       - bos
Bosnian                       - bs
Botlikh                       - bph
Botolan Sambal                - sbl
Bouyei                        - pcc
Brahui                        - brh
Breton                        - br
Breton                        - bre
Bribri                        - bzd
Brithenig                     - bzt
Broome Pearling Lugger Pidgin - bpl
Brunei                        - kxd
Brunei Bisaya                 - bsb
Bu                            - jid
Bube                          - bvb
Bubi                          - buw
Budukh                        - bdk
Buduma                        - bdm
Buginese                      - bug
Bugun                         - bgg
Buhid                         - bku
Bukiyip                       - ape
Bukusu                        - bxk
Bulgarian                     - bg
Bulgarian                     - bul
Buli                          - bwu
Bun                           - buv
Bunama                        - bdd
Bundeli                       - bns
Bungu                         - wun
Bunoge Dogon                  - dgb
Bunun                         - bnn
Bura-Pabir                    - bwr
Buriat                        - bua
Burmese                       - my
Burmese                       - mya
Burun                         - bdi
Burushaski                    - bsk
Buruwai                       - asi
Busa                          - bqp
Busami                        - bsm
Bushi                         - buc
Butuanon                      - btw
Bwatoo                        - bwa
Byangsi                       - bee
Caac                          - msq
Cabécar                       - cjp
Caddo                         - cad
Cahuilla                      - chl
Cajun French                  - frc
Callawalla                    - caw
Caló                          - rmq
Campidanese Sardinian         - sro
Camsá                         - kbh
Candoshi-Shapra               - cbu
Cantonese                     - yue
Capiznon                      - cps
Cappadocian Greek             - cpg
Car Nicobarese                - caq
Cara                          - cfd
Carapana                      - cbc
Carian                        - xcr
Carib                         - car
Carijona                      - cbd
Carolinian                    - cal
Carrier                       - crx
Cashibo-Cacataibo             - cbr
Cashinahua                    - cbs
Catalan                       - ca
Catalan                       - cat
Catawba                       - chc
Cayuga                        - cay
Cebuano                       - ceb
Celtiberian                   - xce
Cemuhî                        - cam
Central Aymara                - ayr
Central Bicolano              - bcl
Central Cagayan Agta          - agt
Central Dusun                 - dtp
Central Morocco Tamazight     - tzm
Central Nicobarese            - ncb
Central Okinawan              - ryu
Central Pomo                  - poo
Central Siberian Yupik        - ess
Central Sierra Miwok          - csm
Central Tagbanwa              - tgt
Central Tarahumara            - tar
Central Yupik                 - esu
Chachi                        - cbi
Chadian Arabic                - shu
Chagatai                      - chg
Chamalal                      - cji
Chamicuro                     - ccc
Chamorro                      - ch
Chamorro                      - cha
Chang Naga                    - nbc
Chaudangsi                    - cdn
Chaura                        - crv
Chavacano                     - cbk
Chayahuita                    - cbt
Chechen                       - ce
Chechen                       - che
Cherepon                      - cpn
Cherokee                      - chr
Cheyenne                      - chy
Chhattisgarhi                 - hne
Chibcha                       - chb
Chickasaw                     - cic
Chicomuceltec                 - cob
Chiga                         - cgg
China Buriat                  - bxu
Chinese                       - zh
Chinese                       - zho
Chinese Pidgin English        - cpi
Chinook                       - chh
Chinook Jargon                - chn
Chipewyan                     - chp
Chippewa                      - ciw
Chiquitano                    - cax
Chiripá                       - nhd
Chitimacha                    - ctm
Chittagonian                  - ctg
Choctaw                       - cho
Chol                          - ctu
Chortí                        - caa
Chrau                         - crw
Chuave                        - cjv
Chuj                          - cac
Chuka                         - cuh
Chukot                        - ckt
Chulym                        - clw
Church Slavic                 - chu
Church Slavic                 - cu
Chut                          - scb
Chuukese                      - chk
Chuvash                       - chv
Chuvash                       - cv
Cia-Cia                       - cia
Cibak                         - ckl
Cimbrian                      - cim
Clallam                       - clm
Classical Armenian            - xcl
Classical Mongolian           - cmg
Classical Nahuatl             - nci
Classical Syriac              - syc
Coast Miwok                   - csi
Coastal Swahili               - swh
Coatlán Mixe                  - mco
Colognian                     - ksh
Colorado                      - cof
Comanche                      - com
Comorian                      - swb
Comox                         - coo
Coptic                        - cop
Cornish                       - cor
Cornish                       - kw
Corsican                      - co
Corsican                      - cos
Cotabato Manobo               - mta
Cowlitz                       - cow
Cree                          - cr
Cree                          - cre
Creek                         - mus
Crimean Turkish               - crh
Croatian                      - hr
Croatian                      - hrv
Crow                          - cro
Cubeo                         - cub
Cuiba                         - cui
Culina                        - cul
Cuneiform Luwian              - xlu
Curonian                      - xcu
Cusco Quechua                 - quz
Czech                         - ces
Czech                         - cs
Daba                          - dbq
Dacian                        - xdc
Dadibi                        - mps
Daga                          - dgz
Dagaari Dioula                - dgd
Dagbani                       - dag
Dahalo                        - dal
Daho-Doo                      - das
Dakota                        - dak
Dalmatian                     - dlm
Damakawa                      - dam
Dan                           - daf
Dan                           - dnj
Danish                        - da
Danish                        - dan
Dano                          - aso
Dargwa                        - dar
Dari                          - prs
Darling                       - drl
Daur                          - dta
Dawro                         - dwr
Dazaga                        - dzg
Dedua                         - ded
Defaka                        - afn
Degema                        - deg
Degexit'an                    - ing
Dehu                          - dhv
Delaware                      - del
Dendi                         - deq
Denya                         - anv
Desano                        - des
Dewoin                        - dee
Dhatki                        - mki
Dhuwal                        - duj
Dido                          - ddo
Dieri                         - dif
Dimasa                        - dis
Dime                          - dim
Dimli                         - diq
Dinka                         - din
Diri                          - dwa
Disa                          - dsi
Divehi                        - dv
Dizin                         - mdx
Djamindjung                   - djd
Djinba                        - djb
Djingili                      - jig
Dobu                          - dob
Doe                           - doe
Dogri                         - dgo
Dogri                         - doi
Dogrib                        - dgr
Dogul Dom Dogon               - dbg
Dolgan                        - dlg
Dom                           - doa
Dompo                         - doy
Dongxiang                     - sce
Dorze                         - doz
Drents                        - drt
Duala                         - dua
Duau                          - dva
Dubli                         - dub
Duhwa                         - kbz
Dumi                          - dus
Dungan                        - dng
Dungra Bhil                   - duh
Dupaninan Agta                - duo
Dusner                        - dsn
Dutch                         - nl
Dutch                         - nld
Duungooma                     - dux
Dyirbal                       - dbl
Dyula                         - dyu
Dzodinka                      - add
Dzongkha                      - dz
Dzongkha                      - dzo
Dzùùngoo                      - dnn
E'ñapa Woromaipu              - pbh
East Futuna                   - fud
East Kewa                     - kjs
East Yugur                    - yuy
Eastern Arrernte              - aer
Eastern Bru                   - bru
Eastern Canadian Inuktitut    - ike
Eastern Cham                  - cjm
Eastern Frisian               - frs
Eastern Keres                 - kee
Eastern Magar                 - mgp
Eastern Mari                  - mhr
Eastern Maroon Creole         - djk
Eastern Muria                 - emu
Eastern Ngad'a                - nea
Eastern Nisu                  - nos
Eastern Oromo                 - hae
Eastern Penan                 - pez
Eastern Pomo                  - peb
Eastern Tamang                - taj
Eastern Yiddish               - ydd
Ebira                         - igb
Eblan                         - xeb
Ebughu                        - ebg
Edolo                         - etr
Edomite                       - xdm
Efai                          - efa
Efik                          - efi
Ega                           - ega
Eggon                         - ego
Egyptian Arabic               - arz
Ekari                         - ekg
Ekit                          - eke
Ekpeye                        - ekp
El Nayar Cora                 - crn
Elamite                       - elx
Eleme                         - elm
Eloyi                         - afo
Emberá-Catío                  - cto
Emberá-Chamí                  - cmi
Emberá-Tadó                   - tdc
Embu                          - ebu
Emilian                       - egl
Ende                          - end
Enga                          - enq
Engenni                       - enn
English                       - en
English                       - eng
Enwan                         - enw
Epena                         - sja
Epie                          - epi
Eravallan                     - era
Erzya                         - myv
Esan                          - ish
Eshtehardi                    - esh
Esimbi                        - ags
Esperanto                     - eo
Esperanto                     - epo
Estonian                      - est
Estonian                      - et
Eten                          - etx
Etruscan                      - ett
Even                          - eve
Evenki                        - evn
Ewe                           - ee
Ewe                           - ewe
Ewondo                        - ewo
Extremaduran                  - ext
Eyak                          - eya
Fagani                        - faf
Faiwol                        - fai
Fala                          - fax
Faliscan                      - xfa
Fang                          - fak
Fang                          - fan
Fanti                         - fat
Faroese                       - fao
Faroese                       - fo
Fas                           - fqs
Fataluku                      - ddg
Fiji Hindi                    - hif
Fijian                        - fij
Fijian                        - fj
Filipino                      - fil
Finnish                       - fi
Finnish                       - fin
Fipa                          - fip
Firan                         - fir
Fon                           - fon
Fore                          - for
Forest Enets                  - enf
Frankish                      - frk
French                        - fr
French                        - fra
Friulian                      - fur
Fulah                         - ff
Fulah                         - ful
Futuna-Aniwa                  - fut
Fwâi                          - fwa
Fyam                          - pym
Fyer                          - fie
Ga                            - gaa
Ga'anda                       - gqa
Gadsup                        - gaj
Gagauz                        - gag
Gagu                          - ggu
Galela                        - gbi
Galeya                        - gar
Galician                      - gl
Galician                      - glg
Gallurese Sardinian           - sdn
Galoli                        - gal
Gamilaraay                    - kld
Gamo                          - gmv
Gan Chinese                   - gan
Ganda                         - lg
Ganda                         - lug
Ganza                         - gza
Garifuna                      - cab
Gavar                         - gou
Gawwada                       - gwd
Gayo                          - gay
Gbari                         - gby
Geez                          - gez
Geji                          - gji
Gela                          - nlg
Gen                           - gej
Georgian                      - ka
Georgian                      - kat
German                        - de
German                        - deu
Ghadamès                      - gha
Gheg Albanian                 - aln
Ghodoberi                     - gdo
Ghotuo                        - aaa
Gidar                         - gid
Gilaki                        - glk
Gilbertese                    - gil
Gilyak                        - niv
Goan Konkani                  - gom
Goemai                        - ank
Gofa                          - gof
Gokana                        - gkn
Gola                          - gol
Golin                         - gvf
Gondi                         - gon
Gooniyandi                    - gni
Gothic                        - got
Greek                         - el
Gresi                         - grs
Gronings                      - gos
Guadeloupean Creole French    - gcf
Guajá                         - gvj
Guambiano                     - gum
Guanano                       - gvc
Guanche                       - gnc
Guarani                       - gn
Guarani                       - grn
Guarequena                    - gae
Guayabero                     - guo
Gude                          - gde
Guerrero Amuzgo               - amu
Guguyimidjir                  - kky
Guhu-Samane                   - ghs
Guianese Creole French        - gcr
Guibei Zhuang                 - zgb
Gujarati                      - gu
Gujarati                      - guj
Gujari                        - gju
Gula'alaa                     - gmb
Gulf Arabic                   - afb
Gumatj                        - gnn
Gumuz                         - guk
Gunwinggu                     - gup
Gurani                        - hac
Gurinji                       - gue
Guro                          - goa
Guruntum-Mbaaru               - grd
Gusii                         - guz
Gweno                         - gwe
Gwere                         - gwr
Gwichʼin                      - gwi
Ha                            - haq
Hadiyya                       - hdy
Hadza                         - hts
Haeke                         - aek
Hahon                         - hah
Haida                         - hai
Haitian                       - hat
Haitian                       - ht
Hajong                        - haj
Haka Chin                     - cnh
Hakka Chinese                 - hak
Halang                        - hal
Halh Mongolian                - khk
Halia                         - hla
Hamer-Banna                   - amf
Han                           - haa
Hangaza                       - han
Hano                          - lml
Hanunoo                       - hnn
Harari                        - har
Haryanvi                      - bgc
Hasha                         - ybj
Hatam                         - had
Hausa                         - ha
Hausa                         - hau
Haveke                        - hvk
Hawai'i Creole English        - hwc
Hawaiian                      - haw
Haya                          - hay
Hazaragi                      - haz
Hebrew                        - he
Hebrew                        - heb
Hehe                          - heh
Herero                        - her
Herero                        - hz
Hewa                          - ham
Hidatsa                       - hid
Highland Totonac              - tos
Hiligaynon                    - hil
Hindi                         - hi
Hindi                         - hin
Hinukh                        - gin
Hiri Motu                     - hmo
Hiri Motu                     - ho
Hittite                       - hit
Hmong                         - hmn
Hmong Daw                     - mww
Hmong Njua                    - hnj
Ho                            - hoc
Ho-Chunk                      - win
Hoava                         - hoa
Holikachuk                    - hoi
Holma                         - hod
Hopi                          - hop
Horom                         - hoe
Hote                          - hot
Hozo                          - hoz
Hu                            - huo
Huambisa                      - hub
Huastec                       - hus
Hunde                         - hke
Hungarian                     - hu
Hungarian                     - hun
Hunsrik                       - hrx
Hunzib                        - huz
Hupa                          - hup
Hupdë                         - jup
Hurrian                       - xhu
Hyam                          - jab
Iaai                          - iai
Iamalele                      - yml
Iban                          - iba
Ibanag                        - ibg
Ibani                         - iby
Ibino                         - ibn
Ibuoro                        - ibr
Icelandic                     - is
Icelandic                     - isl
Ida'an                        - dbj
Idakho-Isukha-Tiriki          - ida
Idi                           - idi
Ido                           - ido
Ido                           - io
Idun                          - ldb
Iduna                         - viv
Igala                         - igl
Igbo                          - ibo
Igbo                          - ig
Ignaciano                     - ign
Ik                            - ikx
Ika                           - ikk
Ikizu                         - ikz
Iko                           - iki
Ila                           - ilb
Ili Turki                     - ili
Iloko                         - ilo
Ilue                          - ilv
Imonda                        - imn
Inari Sami                    - smn
Indonesian                    - id
Indonesian                    - ind
Indonesian Bajau              - bdl
Ineseño                       - inz
Inga                          - inb
Ingrian                       - izh
Ingush                        - inh
Interglossa                   - igs
Interlingua                   - ia
Interlingue                   - ie
Interlingue                   - ile
Inuktitut                     - iku
Inuktitut                     - iu
Inupiaq                       - ik
Inupiaq                       - ipk
Iowa-Oto                      - iow
Iquito                        - iqu
Ir                            - irr
Iranian Persian               - pes
Iraqw                         - irk
Irish                         - ga
Irish                         - gle
Ishkashimi                    - isk
Isinai                        - inn
Isoko                         - iso
Isthmus Mixe                  - mir
Isthmus Zapotec               - zai
Isthmus-Mecayapan Nahuatl     - nhx
Istriot                       - ist
Istro Romanian                - ruo
Italian                       - it
Italian                       - ita
Itelmen                       - itl
Itene                         - ite
Itonama                       - ito
Itu Mbon Uzo                  - itm
Itzá                          - itz
Iu Mien                       - ium
Ivatan                        - ivv
Ixil                          - ixl
Izere                         - izr
Izon                          - ijc
Jahanka                       - jad
Jakun                         - jak
Jalapa De Díaz Mazatec        - maj
Jamaican Creole English       - jam
Jangkang                      - djo
Japanese                      - ja
Japanese                      - jpn
Jarai                         - jra
Javanese                      - jav
Javanese                      - jv
Jawe                          - jaz
Jeh                           - jeh
Jehai                         - jhi
Jewish Babylonian Aramaic     - tmr
Jewish Palestinian Aramaic    - jpa
Jibu                          - jib
Jicarilla Apache              - apj
Jinyu Chinese                 - cjy
Jita                          - jit
Jola-Fonyi                    - dyo
Jowulu                        - jow
Ju/'hoan                      - ktz
Judeo-Tat                     - jdt
Jur Modo                      - bex
Jurchen                       - juc
Jutish                        - jut
K'iche'                       - quc
Kabardian                     - kbd
Kabiyè                        - kbp
Kabuverdianu                  - kea
Kabyle                        - kab
Kachin                        - kac
Kadara                        - kad
Kadiwéu                       - kbc
Kagayanen                     - cgc
Kahe                          - hka
Kaingang                      - kgp
Kakabe                        - kke
Kala Lagaw Ya                 - mwp
Kalaallisut                   - kal
Kalaallisut                   - kl
Kalabari                      - ijn
Kalagan                       - kqe
Kalami                        - gwc
Kalanga                       - kck
Kalasha                       - kls
Kalenjin                      - kln
Kalispel-Pend d'Oreille       - fla
Kalkutung                     - ktg
Kalmyk                        - xal
Kalo Finnish Romani           - rmf
Kamano                        - kbq
Kamas                         - xas
Kamasau                       - kms
Kamba                         - kam
Kamba                         - xba
Kambera                       - xbr
Kamu                          - xmu
Kamula                        - xla
Kamviri                       - xvi
Kanakanabu                    - xnb
Kandawo                       - gam
Kanga                         - kcp
Kanikkaran                    - kev
Kaningdon-Nindem              - kdp
Kannada                       - kan
Kannada                       - kn
Kansa                         - ksk
Kanufi                        - kni
Kanuri                        - kau
Kanuri                        - kr
Kapingamarangi                - kpg
Kaqchikel                     - cak
Kara                          - leu
Kara                          - reg
Kara-Kalpak                   - kaa
Karachay-Balkar               - krc
Karagas                       - kim
Karaim                        - kdr
Karajá                        - kpj
Karamojong                    - kdj
Karata                        - kpt
Karbi                         - mjw
Karekare                      - kai
Karelian                      - krl
Karitiâna                     - ktn
Kariyarra                     - vka
Karo                          - kxh
Karok                         - kyh
Kasem                         - xsm
Kashaya                       - kju
Kashmiri                      - kas
Kashmiri                      - ks
Kashubian                     - csb
Kaska                         - kkz
Katcha-Kadugli-Miri           - xtc
Katso                         - kaf
Kaurna                        - zku
Kavalan                       - ckv
Kawaiisu                      - xaw
Kawi                          - kaw
Kayapa Kallahan               - kak
Kaytetye                      - gbb
Kazakh                        - kaz
Kazakh                        - kk
Keiga                         - kec
Kekchí                        - kek
Kemtuik                       - kmt
Kendem                        - kvm
Kenuzi-Dongola                - kzh
Kenyang                       - ken
Kerek                         - krk
Kerewe                        - ked
Ket                           - ket
Khakas                        - kjh
Khana                         - ogo
Khanty                        - kca
Khasi                         - kha
Khazar                        - zkz
Khehek                        - tlx
Khinalugh                     - kjj
Khmer                         - km
Khmu                          - kjg
Khorasani Turkish             - kmz
Khotanese                     - kho
Khowar                        - khw
Khvarshi                      - khv
Kickapoo                      - kic
Kikuyu                        - ki
Kikuyu                        - kik
Kildin Sami                   - sjd
Kimbu                         - kiv
Kimbundu                      - kmb
Kinaray-A                     - krj
Kinga                         - zga
Kinnauri                      - kfk
Kinyarwanda                   - kin
Kinyarwanda                   - rw
Kiowa                         - kio
Kiowa Apache                  - apk
Kiput                         - kyi
Kir-Balar                     - kkr
Kirghiz                       - kir
Kirghiz                       - ky
Kirike                        - okr
Kis                           - kis
Kisi                          - kiz
Kituba                        - ktu
Klamath-Modoc                 - kla
Klingon                       - tlh
Koalib                        - kib
Koasati                       - cku
Kok Borok                     - trp
Kokota                        - kkk
Komi                          - kom
Komi                          - kv
Komi-Permyak                  - koi
Komi-Zyrian                   - kpv
Konda-Dora                    - kfc
Kongo                         - kg
Kongo                         - kon
Konkani                       - knn
Konkani                       - kok
Konni                         - kma
Kono                          - kno
Konso                         - kxc
Korean                        - ko
Korean                        - kor
Koreguaje                     - coe
Korku                         - kfq
Koromfé                       - kfz
Koryak                        - kpy
Koshin                        - kid
Kosraean                      - kos
Kotava                        - avk
Kott                          - zko
Kove                          - kvc
Koyraboro Senni               - ses
Koyukon                       - koy
Kpasam                        - pbn
Kpelle                        - kpe
Krio                          - kri
Kriol                         - rop
Krisa                         - ksi
Krobu                         - kxb
Kryts                         - kry
Kuanua                        - ksd
Kuanyama                      - kj
Kuanyama                      - kua
Kui                           - kxu
Kulere                        - kul
Kulon-Pazeh                   - uun
Kuman                         - kue
Kuman                         - qwm
Kumyk                         - kum
Kunama                        - kun
Kung-Ekoka                    - knw
Kuni                          - kse
Kunigami                      - xug
Kunjen                        - kjn
Kunza                         - kuz
Kuot                          - kto
Kupa                          - kug
Kuranko                       - knk
Kurdish                       - ku
Kurdish                       - kur
Kuria                         - kuj
Kurudu                        - kjr
Kurukh                        - kru
Kushi                         - kuh
Kusunda                       - kgg
Kutenai                       - kut
Kutep                         - kub
Kutu                          - kdc
Kuturmi                       - khj
Kuvi                          - kxv
Kuy                           - kdt
Kven Finnish                  - fkv
Kwakiutl                      - kwk
Kwamera                       - tnk
Kwang                         - kvi
Kwangali                      - kwn
Kwara'ae                      - kwf
Kwaya                         - kya
Kwere                         - cwe
Kwoma                         - kmo
Kyenga                        - tye
Kâte                          - kmg
Kélé                          - keb
Laal                          - gdm
Lacandon                      - lac
Ladakhi                       - lbj
Ladin                         - lld
Ladino                        - lad
Lagwan                        - kot
Lak                           - lbe
Lake Miwok                    - lmw
Laki                          - lki
Lakota                        - lkt
Lala                          - nrz
Lamang                        - hia
Lamba                         - lam
Lambya                        - lai
Lamma                         - lev
Lampung Api                   - ljp
Langi                         - lag
Lango                         - laj
Lao                           - lao
Lao                           - lo
Laru                          - lan
Late Middle Chinese           - ltc
Latgalian                     - ltg
Latin                         - la
Latin                         - lat
Latvian                       - lav
Latvian                       - lv
Lau                           - llu
Lauje                         - law
Laurentian                    - lre
Lavukaleve                    - lvk
Laz                           - lzz
Lealao Chinantec              - cle
Ledo Kaili                    - lew
Lele                          - llc
Lendu                         - led
Lengo                         - lgr
Lengola                       - lej
Lenje                         - leh
Lese                          - les
Lezghian                      - lez
Li'o                          - ljl
Libyan Arabic                 - ayl
Ligbi                         - lig
Ligurian                      - lij
Ligurian ancient              - xlg
Lijili                        - mgi
Likum                         - lib
Lillooet                      - lil
Limbu                         - lif
Limburgish                    - li
Lingala                       - lin
Lingala                       - ln
Lingua Franca Nova            - lfn
Lipan Apache                  - apl
Lisu                          - lis
Literary Chinese              - lzh
Lithuanian                    - lit
Lithuanian                    - lt
Liv                           - liv
Lobi                          - lob
Logooli                       - rag
Logudorese Sardinian          - src
Lojban                        - jbo
Loko                          - lok
Lombard                       - lmo
Loniu                         - los
Lopa                          - lop
Lou                           - loj
Louisiana Creole French       - lou
Low German                    - nds
Lower Sorbian                 - dsb
Lower Tanana                  - taa
Lozi                          - loz
Luba-Katanga                  - lu
Luba-Katanga                  - lub
Luba-Lulua                    - lua
Lubuagan Kalinga              - knb
Luguru                        - ruf
Luiseno                       - lui
Lule Sami                     - smj
Lunanakha                     - luk
Lunda                         - lun
Luo                           - luo
Luo                           - luw
Lusengo                       - lse
Lushai                        - lus
Lushootseed                   - lut
Lusitanian                    - xls
Luxembourgish                 - lb
Luxembourgish                 - ltz
Luyia                         - luy
Lycian                        - xlc
Lydian                        - xld
Lü                            - khb
Maay                          - ymm
Maba                          - mde
Mabaan                        - mfz
Macaguán                      - mbn
Macanese                      - mzs
Macedonian                    - mk
Macedonian                    - mkd
Machame                       - jmc
Machiguenga                   - mcb
Macuna                        - myy
Macushi                       - mbc
Mada                          - mda
Madurese                      - mad
Maguindanaon                  - mdh
Mahican                       - mjy
Maia                          - sks
Mainfränkisch                 - vmf
Maithili                      - mai
Majang                        - mpe
Makah                         - myh
Makasae                       - mkz
Makasar                       - mak
Makhuwa                       - vmw
Makonde                       - kde
Mala Malasar                  - ima
Malagasy                      - mg
Malagasy                      - mlg
Malay                         - ms
Malay                         - zlm
Malayalam                     - mal
Malayalam                     - ml
Malecite-Passamaquoddy        - pqm
Malila                        - mgq
Malinaltepec Me'phaa          - tcf
Maltese                       - mlt
Maltese                       - mt
Maléku Jaíka                  - gut
Mam                           - mam
Mamanwa                       - mmn
Mambae                        - mgm
Mambwe-Lungu                  - mgr
Manado Malay                  - xmm
Manam                         - mva
Manambu                       - mle
Manchu                        - mnc
Manda                         - mgs
Manda                         - mha
Manda                         - zma
Mandaic                       - mid
Mandar                        - mdr
Mandara                       - tbf
Mandarin                      - cmn
Mandingo                      - man
Mandinka                      - mnk
Mandobo Atas                  - aax
Mangareva                     - mrv
Mangas                        - zns
Manggarai                     - mqy
Manikion                      - mnx
Manipuri                      - mni
Mann                          - mev
Mansi                         - mns
Mansoanka                     - msw
Manta                         - myg
Manx                          - glv
Manx                          - gv
Maori                         - mi
Maori                         - mri
Mapos Buang                   - bzh
